"Name","Description","DataType","Default","Value","Compliance"
"AllowDatagramProcessingOnWinServer","This setting controls datagram processing for Network Protection is enabled on Server","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Important}"
"AllowNetworkProtectionOnWinServer","This setting controls whether Network Protection is allows to be configured into block or Audit mode on Windows Server","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"ASRBlockAbuseOfExploitedVulnerableSignedDrivers","Block abuse of exploited vulnerable signed drivers","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"ASRBlockAdobeReaderFromCreatingChildProcesses","Block Adobe Reader from creating child processes","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRBlockEXEFromEmailClientAndWebmail","Block executable content from email client and webmail","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRBlockEXEFromRunningUnlessTrusted","Block executable files from running unless they meet a prevalence, age, or trusted list criterion","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"ASRBlockJSVBSLaunchingDownloadedContent","Block JavaScript or VBScript from launching downloaded executable content","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"ASRBlockLSASSCredentialStealing","Block credential stealing from the Windows local security authority subsystem (lsass.exe)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"ASRBlockOfficeApplicationsFromCreatingChildProcesses","Block all Office applications from creating child processes","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRBlockOfficeCommunicationApplicationFromCreatingChildProcesses","Block Office communication application from creating child processes","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRBlockOfficeFromCreatingExecutableContent","Block Office applications from creating executable content","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRBlockOfficeFromInjectingCodeIntoProcesses","Block Office applications from injecting code into other processes","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRBlockPersistenceThroughWMIEventSubscription","Block persistence through WMI event subscription (File and folder exclusions not supported)","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Important}"
"ASRBlockPotentiallyObfuscatedScripts","Block execution of potentially obfuscated scripts","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"ASRBlockProcessCreationFromPSExecAndWMICommands","Block process creations originating from PSExec and WMI commands","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Important}"
"ASRBlockRebootingMachineInSafeMode","Block rebooting machine in Safe Mode (preview)","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Important}"
"ASRBlockUntrustedAndUnsignedProcessesRunningFromUSB","Block untrusted and unsigned processes that run from USB","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"ASRBlockUseOfCopiedOrImpersonatedSystemTools","Block use of copied or impersonated system tools (preview)","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Important}"
"ASRBlockWebshellCreationForServers","Block Webshell creation for Servers","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
