"Name","Description","DataType","Default","Value","Compliance"
"AfdDisableAddressSharing","System Services Afd DisableAddressSharing","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AllowAnonymousSIDOrNameTranslation","Network access: Allow anonymous SID/Name translation","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Warning}"
"AllowCustomSSPAPIntoLSASS","Allow Custom SSPs and APs to be loaded into LSASS","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AllowedToFormatAndEjectRemovableMedia","Devices: Allowed to format and eject removable media","String","0",,"@{Status=NotCompliant; Reason=(null) does not match against any of the allowed values; Severity=Warning}"
"AllowICMPRedirectsToOverrideOSPFGeneratedRoutes","MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"AllowLocalSystemNULLSessionFallback","Network security: Allow LocalSystem NULL session fallback","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"AllowLocalSystemToUseComputerIdentityForNTLM","Network security: Allow Local System to use computer identity for NTLM","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AllowPKU2UAuthenticationAllowOnlineID","Network Security: Allow PKU2U authentication requests to this computer to use online identities","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"AllowSystemToBeShutDownWithoutHavingToLogOn","Shutdown: Allow system to be shut down without having to log on","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Warning}"
"AllowTheComputerToIgnoreNetBIOSNameReleaseRequestsExceptFromWINSServers","MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Informational}"
"AllowUIAccessApplicationsToPromptForElevation","User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"AmountOfIdleTimeRequiredBeforeSuspendingSession","Microsoft network server: Amount of idle time required before suspending session","Integer","15","15","@{Status=Compliant; Reason=15 is within the allowed range: 1 to 15; Severity=Critical}"
"ApplicationIdentityStartupType","Application Identity","Integer","2","3","@{Status=NotCompliant; Reason=3 is not equal to 2; Severity=Informational}"
"ApplicationManagementMSIAllowUserControlOverInstall","Allow user control over installs","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"ApplicationManagementMSIAlwaysInstallWithElevatedPrivileges","Always install with elevated privileges","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"ApplyUACRestrictionsToLocalAccountsOnNetworkLogon","Apply UAC restrictions to local accounts on network logons","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"AppRuntimeAllowMicrosoftAccountsToBeOptional","Allow Microsoft accounts to be optional","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"AuditAccountLockout","Audit Account Lockout","Integer","2","1","@{Status=NotCompliant; Reason=1 is not one of the allowed values: [2,3]; Severity=Critical}"
"AuditAuthenticationPolicyChange","Audit Authentication Policy Change","Integer","1","1","@{Status=Compliant; Reason=1 is one of the allowed values: [1,3]; Severity=Critical}"
"AuditAuthorizationPolicyChange","Audit Authorization Policy Change","Integer","1","0","@{Status=NotCompliant; Reason=0 is not one of the allowed values: [1,3]; Severity=Critical}"
"AuditBackupAndRestorePrivilege","Audit: Audit the use of Backup and Restore privilege","String","MDA=","AA==","@{Status=NotCompliant; Reason=""AA=="" is not equal to ""MDA=""; Severity=Critical}"
"AuditChangeCategoryOther","Audit events generated by other security policy changes that are not audited in the policy change category","Integer","2","0","@{Status=NotCompliant; Reason=0 is not one of the allowed values: [2,3]; Severity=Critical}"
"AuditClientDoesNotSupportEncryption","Audit client does not support encryption","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AuditClientDoesNotSupportSigning","Audit client does not support signing","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AuditCredentialValidation","Audit Credential Validation","Integer","3","1","@{Status=NotCompliant; Reason=1 is not equal to 3; Severity=Critical}"
"AuditDetailedFileShare","Audit Detailed File Share","Integer","2","0","@{Status=NotCompliant; Reason=0 is not one of the allowed values: [2,3]; Severity=Critical}"
"AuditFileShare","Audit File Share","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditGroupMembership","Audit Group Membership","Integer","1","0","@{Status=NotCompliant; Reason=0 is not one of the allowed values: [1,3]; Severity=Critical}"
"AuditInsecureGuestLogon","Audit insecure guest logon","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AuditIPsecDriver","Audit IPsec Driver","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditLogoff","Audit Logoff","Integer","1","1","@{Status=Compliant; Reason=1 is one of the allowed values: [1,3]; Severity=Critical}"
"AuditLogon","Audit Logon","Integer","3","3","@{Status=Compliant; Reason=3 is equal to 3; Severity=Critical}"
